Image	calcifications?	GRAIL min	GRAIL max	GCS min	GCS max	complete range min	complete range max	MI complete range	MI GCS	MI GRAIL	MI GRAIL – MI GCS	Observer 1 min	Observer 1 max	Observer 2 min	Observer 2 max	Observer 3 min	Observer 3 max	Observer 4 min	Observer 4 max	Observer 5 min	Observer 5 max	Observer 6 min	Observer 6 max	Observer 7 min	Observer 7 max	Observer 8 min	Observer 8 max	Observer 9 min	Observer 9 max	Observer 10 min	Observer 10 max	Observer 11 min	Observer 11 max	Observer 12 min	Observer 12 max	Observer 13 min	Observer 13 max
breastdx03_1.tif	0	0	3187	143	3667	20	3524	0.19	0.18	0.22	0.04	44	3092	89	3043	163	3020	48	3100	143	3010	143	3520	310	3299	123	3466	69	3091	292	3002	439	3192	546	3020	98	3045
breastdx03_10.tif	1	0	2926	40	4093	0	4053	0.22	0.21	0.32	0.11	0	2706	0	2904	0	2911	40	2833	115	2961	172	3158	105	3096	45	2866	8	2454	70	2765	167	2608	277	3038	27	2760
breastdx03_2.tif	0	0	3376	0	3736	0	3736	0.16	0.16	0.16	0	138	3350	83	3454	214	3536	269	3646	289	3454	365	3192	234	3777	193	3378	205	3134	160	3270	282	3378	489	3836	148	3135
breastdx03_3.tif	1	0	2869	35	4093	1	4058	0.2	0.19	0.31	0.12	0	2796	0	2966	0	3116	35	2661	110	3051	0	3281	82	3921	0	2869	0	2573	0	2890	50	3125	447	2983	88	2652
breastdx03_4.tif	0	294	3636	133	3636	0	3503	0.29	0.28	0.29	0.01	140	3283	133	3363	133	3210	73	3603	213	3389	200	3350	106	3736	200	3110	278	2997	0	3184	266	3236	399	3736	214	3001
breastdx03_5.tif	1	0	3580	150	4093	0	3943	0.22	0.21	0.25	0.04	157	3141	150	3248	150	3263	150	3371	328	3144	283	3166	232	3706	83	3281	227	2749	413	3120	120	3245	535	3727	249	3004
breastdx03_6.tif	1	0	3157	85	4093	0	4008	0.23	0.22	0.3	0.08	0	3403	85	2961	85	3246	0	3403	152	3141	55	2924	0	3156	40	3239	216	2992	8	3263	137	3478	152	3756	28	3214
breastdx03_7.tif	1	105	4081	160	4093	0	3933	0.25	0.24	0.25	0.01	145	3581	105	3689	105	3682	160	3891	241	3272	186	3578	1059	3901	135	3619	280	3221	7	3562	212	3610	507	3899	178	3219
breastdx03_8.tif	0	0	3466	140	4093	1	3953	0.27	0.26	0.33	0.07	40	3231	40	3302	140	3670	40	3395	237	3083	177	3677	159	3844	140	3254	219	2919	12	3555	40	3558	244	3712	119	3269
breastdx03_9.tif	0	0	3098	126	3590	0	3464	0.21	0.2	0.22	0.02	24	3103	126	3313	126	3333	152	3096	324	3122	80	3267	212	3243	24	3161	146	3171	125	3388	126	3030	680	3267	28	3020
breastdx20_1.tif	1	0	3778	0	4093	0	4093	0.11	0.11	0.12	0.01	7	3778	0	3463	0	3471	105	3598	217	3246	135	3496	195	3733	22	3341	46	3357	166	3317	345	3422	1102	4192	9	3395
breastdx26_1.tif	0	0	3681	31	3804	0	3773	0.31	0.3	0.31	0.01	0	3283	0	3534	0	3681	31	3654	101	3496	42	3457	63	3904	0	3555	0	3622	50	3491	268	3466	241	3633	60	3357
breastdx26_2.tif	0	0	3522	52	3738	0	3686	0.3	0.28	0.3	0.02	0	3538	52	3483	52	3497	45	3779	128	3442	52	3373	0	3697	52	3421	189	3262	0	3459	169	3249	0	3786	0	3490
breastdx26_4.tif	1	0	3709	61	4093	1	4032	0.22	0.2	0.24	0.04	151	3078	0	3492	0	3327	61	3431	143	3119	157	3087	39	3821	105	3312	0	3145	262	3061	151	3363	458	3501	215	2824
breastdx28_1.tif	0	0	3692	86	4046	0	3960	0.27	0.26	0.28	0.02	34	3379	86	3438	86	2919	49	3297	175	3423	101	3045	34	4113	86	3231	148	3301	365	2911	101	3757	316	2978	88	3259
breastdx50_1.tif	0	93	3692	263	3692	0	3429	0.17	0.16	0.17	0.01	256	3463	263	3294	407	3326	270	3359	479	3209	381	3163	348	3792	224	3424	295	3099	514	3335	557	3287	648	3340	338	3165
breastdx50_2.tif	0	0	2634	0	3420	0	3420	0.32	0.32	0.39	0.07	121	2468	0	2715	146	2969	25	2220	241	2309	241	2741	0	3038	140	2373	0	2487	24	2452	152	2506	144	2811	198	2070
breastdx50_3.tif	0	0	3334	164	3811	1	3647	0.17	0.16	0.21	0.05	164	3012	164	3521	164	3383	157	3109	261	3182	233	3397	64	3272	164	3203	245	3092	62	3106	254	2922	420	3406	251	2773
breastdx50_4.tif	0	0	3624	144	3744	0	3600	0.19	0.19	0.2	0.01	124	3259	144	3485	144	3321	144	3239	246	3055	137	3177	144	3471	192	3348	303	3547	90	3365	308	3280	328	3696	219	3107
breastdx53_1.tif	1	0	3713	83	4037	0	3954	0.28	0.26	0.29	0.03	142	3393	0	3365	0	3535	46	3378	231	3529	163	3313	238	4136	0	3373	162	2965	311	3088	268	3445	0	3926	241	3357
